,level_0,index,Cargas_criticas,Cargas_no_esenciales,Disponibilidad_red,Disponibilidad_generador,Disponibilidad_inversor
0,0,2022-09-30 00:15:00,3352.1262,6704.2524,1.0,1.0,1.0
1,1,2022-09-30 00:30:00,3323.773,6647.546,1.0,1.0,1.0
2,2,2022-09-30 00:45:00,3306.22,6612.44,1.0,1.0,1.0
3,3,2022-09-30 01:00:00,3295.6482,6591.2964,1.0,1.0,1.0
4,4,2022-09-30 01:15:00,3278.4614,6556.923,1.0,1.0,1.0
5,5,2022-09-30 01:30:00,3263.2866,6526.573,1.0,1.0,1.0
6,6,2022-09-30 01:45:00,3247.3193,6494.6387,1.0,1.0,1.0
7,7,2022-09-30 02:00:00,3237.2964,6474.593,1.0,1.0,1.0
8,8,2022-09-30 02:15:00,3235.7527,6471.5054,1.0,1.0,1.0
9,9,2022-09-30 02:30:00,3238.1116,6476.223,1.0,1.0,1.0
10,10,2022-09-30 02:45:00,3239.1025,6478.205,1.0,1.0,1.0
11,11,2022-09-30 03:00:00,3258.1667,6516.3335,1.0,1.0,1.0
