,level_0,index,solar_rad,wind_speed_hi_last_2_min,temp,Day of year,Hour,decl,omega,tetha,zenit,IRR,P_mpp
0,0,2022-09-30 00:15:00,0.0,0.21660496,13.160717,273,0,-3.8178244534082153,-180,3.0743087262420112,3.1277716435028142,0.0,0.0
1,1,2022-09-30 00:30:00,0.0,0.31130278,12.935884,273,0,-3.8178244534082153,-180,3.0743087262420112,3.1277716435028142,0.0,0.0
2,2,2022-09-30 00:45:00,0.0,0.13537128,12.806123,273,0,-3.8178244534082153,-180,3.0743087262420112,3.1277716435028142,0.0,0.0
3,3,2022-09-30 01:00:00,0.0,0.06905086,12.856551,273,1,-3.8178244534082153,-165,2.871475056193086,2.880141552859702,0.0,0.0
4,4,2022-09-30 01:15:00,0.0,0.046974152,12.9496155,273,1,-3.8178244534082153,-165,2.871475056193086,2.880141552859702,0.0,0.0
5,5,2022-09-30 01:30:00,0.0,0.13962954,12.83002,273,1,-3.8178244534082153,-165,2.871475056193086,2.880141552859702,0.0,0.0
6,6,2022-09-30 01:45:00,0.0,0.064912334,12.818712,273,1,-3.8178244534082153,-165,2.871475056193086,2.880141552859702,0.0,0.0
7,7,2022-09-30 02:00:00,0.0,0.0,12.7859335,273,2,-3.8178244534082153,-150,2.6140825327108885,2.619263708762192,0.0,0.0
8,8,2022-09-30 02:15:00,0.0,0.0,12.919623,273,2,-3.8178244534082153,-150,2.6140825327108885,2.619263708762192,0.0,0.0
9,9,2022-09-30 02:30:00,0.0,0.0,12.878389,273,2,-3.8178244534082153,-150,2.6140825327108885,2.619263708762192,0.0,0.0
10,10,2022-09-30 02:45:00,0.0,0.074482664,12.857132,273,2,-3.8178244534082153,-150,2.6140825327108885,2.619263708762192,0.0,0.0
11,11,2022-09-30 03:00:00,0.0,0.0,12.8421545,273,3,-3.8178244534082153,-135,2.353925917180109,2.35831779256233,0.0,0.0
